Name,Matches,Runs,Bat_Average
Seren Waters,20(2008-2011),419,20.95
Steven L Watkin,4(1994-1994),4,2
Michael Watkinson,1(1996-1996),0,N/A
Bradley-John Watling,28(2010-),573,24.91
Graeme D Watson,2(1972-1972),11,11
Ryan R Watson,35(2006-2010),956,30.84
Shane R Watson,190(2002-2015),5757,40.54
William Watson,61(1986-1994),86,7.82
Mark R J Watt,18(2016-),130,16.25
David F Watts,36(2006-2011),974,28.65
Mark Edward Waugh,244(1988-2002),8500,39.35
Stephen Rodger Waugh,325(1986-2002),7569,32.91
Peter N Webb,5(1983-1984),38,9.5
Richard J Webb,3(1983-1983),6,N/A
Ajith P Weerakkody,1(1994-1994),2,2
Dharshanapriya Sandun Weerakkody,3(2017-),73,24.33
Sajeewa Weerakoon,2(2012-2012),0,N/A
Kaushalya Weeraratne,15(2000-2008),160,20
Uda Walawwe Mahim Bandaralage Chanaka Asanga Welegedara,10(2009-2010),4,4
Dirk M Wellham,17(1981-1987),379,25.27
Alan P Wells,1(1995-1995),15,15
Colin M Wells,2(1985-1985),22,11
Vincent J Wells,9(1999-1999),141,20.14
Steven R Welsh,3(2006-2008),42,21
Dominic S Wesonga,4(2010-2011),61,20.33
Kepler Christoffel Wessels,109(1983-1994),3367,34.36
Regan M West,10(2008-2009),61,30.5
Berend A Westdijk,4(2011-2011),1,0.5
Mithra De S Wettimuny,1(1983-1983),2,2
Sidath Wettimuny,35(1982-1987),786,24.56
Sunil R D Wettimuny,3(1975-1979),136,68
Alexander G Wharf,13(2004-2005),19,9.5
Karl Whatham,1(2011-2011),18,18
Davenell F Whatmore,1(1980-1980),2,2
Bradley Thomas James Wheal,11(2016-),16,5.33
Ben Matthew Wheeler,6(2015-2015),58,N/A
Roger K Whelan,2(2007-2007),5,2.5
John J Whitaker,2(1987-1987),48,48
Andrew R White,61(2006-2014),776,18.05
Craig White,51(1994-2003),568,15.78
Cameron L White,91(2005-),2072,33.97
David J White,3(1990-1990),37,12.33
Michael R Whitney,38(1983-1993),40,6.67
Andrew Richard Whittall,63(1996-2000),168,7.64
Guy J Whittall,147(1993-2003),2705,22.54
Stuart Gordon Whittingham,4(2017-),6,6
Ranasinghe P A H Wickramaratne,3(1993-1993),4,2
Gallage Pramodya Wickramasinghe,134(1990-2002),344,8.6
Anguppulige Gamini Dayantha Wickremasinghe,4(1992-1993),2,2
Julien M Wiener,7(1979-1980),140,20
David Wiese,6(2015-2016),103,20.6
Kapila I W Wijegunawardene,26(1988-1992),20,2.86
Roger G C E Wijesuriya,8(1982-1985),18,18
David J Willey,42(2015-),246,18.92
Peter Willey,26(1977-1986),538,23.39
Brad A Williams,25(2002-2004),27,13.5
David Williams,36(1988-1997),147,9.19
Henry S Williams,7(1999-2000),8,8
Kesrick Omari Kenal Williams,8(2017-),19,19
Laurie R Williams,15(1996-2001),124,11.27
Stuart C Williams,57(1994-1999),1586,32.37
Sean C Williams,122(2005-),3395,33.28
John Greig Williamson,2(1999-1999),11,5.5
Kane S Williamson,139(2010-),5555,45.91
Robert George Dylan Willis,64(1973-1984),83,10.38
Charl M Willoughby,3(2000-2003),0,0
Gary Craig Wilson,99(2007-),1974,24.07
Jeffrey W Wilson,6(1993-2005),103,20.6
Paul Wilson,11(1997-1998),4,1.33
Paul J Wiseman,15(1998-2003),45,22.5
Craig B Wishart,90(1996-2005),1719,23.23
Warren A Wisneski,3(2000-2000),10,10
Christopher Roger Woakes,84(2011-),1039,26.64
Barry Wood,13(1972-1982),314,31.4
Graeme M Wood,83(1978-1989),2219,33.62
Mark A Wood,40(2015-),45,9
Ashley J Woodcock,1(1974-1974),53,53
Luke J Woodcock,4(2011-2011),14,14
Roger D Woolley,4(1983-1983),31,31
Robert A Woolmer,6(1972-1976),21,5.25
George H Worker,10(2015-),272,34
Daniel J Worrall,3(2016-),6,N/A
Craig M Wright,20(2006-2009),240,16
John G Wright,149(1978-1992),3891,26.47
Kevin J Wright,5(1979-1979),29,14.5
Luke J Wright,50(2007-2014),707,20.2
Mandy Yachad,1(1991-1991),31,31
Jayant Yadav,1(2016-),1,N/A
Jai P Yadav,12(2002-2005),81,20.25
Nandlal S Yadav,7(1986-1987),1,N/A
Umeshkumar Tilak Yadav,75(2010-),79,7.9
Vijay Yadav,19(1992-1994),118,11.8
Graham N Yallop,30(1978-1984),823,39.19
Yamin Ahmadzai,3(2015-),3,3
Bruce Yardley,7(1978-1983),58,14.5
Michael H Yardy,28(2006-2011),326,20.38
Yashpal Sharma,42(1978-1985),883,28.48
Yasir Arafat,11(2000-2009),74,14.8
Yasir Hameed,56(2003-2007),2028,36.87
Yasir Shah,19(2011-),102,17
Yograj Singh,6(1980-1981),1,0.5
Tinu Yohannan,3(2002-2002),7,N/A
Bryan A Young,74(1990-1999),1668,24.53
Bradley E Young,6(1998-1999),31,15.5
Craig Alexander Young,13(2014-),20,5
Mohammad Younis Ahmed,2(1987-1987),84,42
Younis Khan,265(2000-2015),7249,31.25
Yunus Badat,2(1975-1975),1,0.5
Yuvraj Singh,304(2000-),8701,36.56
Zafar Gohar,1(2015-2015),15,15
Zafar Iqbal,8(1995-1995),48,8
Syed Zaheer Abbas Kirmani,62(1974-1985),2572,47.63
Zaheer Maqsood,2(2015-2015),13,N/A
Zahid Ahmed,2(1987-1987),3,3
Zahid Fazal,19(1990-1994),348,23.2
Zahid Hussain,2(2011-2011),9,9
Zahid Razzak,3(1988-1990),14,4.67
Zahid Shah,2(2008-2008),11,N/A
Zahoor Elahi,14(1996-1997),297,22.85
Zahoor Khan,12(2017-),33,6.6
Zain Abbas,1(2008-2008),26,N/A
Zakir Hasan,2(1997-1998),0,0
Zakir Khan,17(1984-1990),27,27
Zakiullah Zaki,1(2012-2012),3,N/A
Zameer Zahir,1(2009-2009),3,N/A
Adam Zampa,35(2016-),97,7.46
Zeeshan Siddiqi,2(2012-2014),50,25
Andris K Zesers,2(1987-1987),10,N/A
Cephas Zhuwawo,9(2008-),154,17.11
Ziaur Rahman,13(2013-2014),124,11.27
Timothy J Zoehrer,22(1986-1994),130,10.83
Monde Zondeki,13(2002-2008),4,4
Khayelihle Zondo,5(2018-),142,35.5
Demuni Nuwan Tharanga Zoysa,95(1997-2007),343,13.19
Bastiaan Zuiderent,57(1996-2011),1098,23.87
Zulfiqar Ali,3(1975-1975),39,19.5
Zulfiqar Babar,5(2014-2015),35,17.5
Zulqarnain Haider,4(2010-2010),48,24
Zulquarnain,16(1985-1989),18,6
